timestamp,title,price,original_price,shipping,item_url
2025-03-19 13:03:17,Microsoft Xbox Series S,US $299.00,US $299.00,N/A,https://www.ebay.com/itm/266190900217?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-19 13:03:17,Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,US $674.99,US $674.99,N/A,https://www.ebay.com/itm/166613095133?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-19 13:03:17,"Seagate EXOS X16 ST14000NM005G 14TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD",US $147.99,US $147.99,N/A,https://www.ebay.com/itm/176825170520?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-19 13:03:17,"HP Laptop AMD Ryzen 5 7530U 16GB 1 TB SSD 17.3"" Touchscreen W11H 17-cp3055cl",US $399.99,US $599.99,N/A,https://www.ebay.com/itm/305956067711?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-19 13:03:17,Nintendo Switch OLED 64GB NEON Red Blue Joy Con Newest Version +FAST FREE SHIP!⭐,US $269.99,US $359.99,N/A,https://www.ebay.com/itm/195122716310?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-19 13:03:17,Apple iPhone 14 Pro 128GB Unlocked - Excellent,US $446.95,US $446.95,N/A,https://www.ebay.com/itm/405469724990?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-03-19 13:03:17,Apple iPhone 13 128GB Unlocked - Excellent,US $291.95,US $291.95,N/A,https://www.ebay.com/itm/404240045218?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-03-19 13:03:17,Apple iPhone 13 128GB Unlocked - Excellent,US $301.99,US $301.99,N/A,https://www.ebay.com/itm/256350256024?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-03-19 13:03:17,Apple iPhone 13 Pro 256GB Unlocked - Excellent,US $402.95,US $402.95,N/A,https://www.ebay.com/itm/386146593917?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-03-19 13:03:17,Apple iPhone 15 Pro 512GB ( Unlocked) US E-Sim Version. Excellent,US $709.99,US $709.99,N/A,https://www.ebay.com/itm/156119977855?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
